"date","mkt_rf","smb","hml","rmw","cma","rf"
"1980-01-31",0.0547567977,0.0175678371,0.0166899985,-0.0148578140,0.0188378026,0.0079500096
"1980-02-29",-0.0121952276,-0.0159756734,0.0060544294,0.0014198372,0.0309677813,0.0088368813
"1980-03-31",-0.1277134628,-0.0774499370,-0.0124127354,0.0164088699,-0.0125634395,0.0120384759
"1980-04-30",0.0395378577,0.0091935555,0.0094078771,-0.0206886288,0.0023823954,0.0124633749
"1980-05-31",0.0521753988,0.0189040368,0.0035496609,0.0027187062,-0.0040325177,0.0080103971
"1980-06-30",0.0302847247,0.0136416473,-0.0088074549,-0.0005803237,-0.0092016927,0.0061076935
"1980-07-31",0.0643158887,0.0361998362,-0.0571928158,0.0374785496,-0.0222242843,0.0052933269
"1980-08-31",0.0179484981,0.0416225771,-0.0249038182,0.0202235977,-0.0068561590,0.0063189360
"1980-09-30",0.0217274324,0.0052029196,-0.0479905054,0.0206225022,-0.0287404543,0.0075872782
"1980-10-31",0.0103312515,0.0213383703,-0.0296158288,0.0194009484,-0.0147753533,0.0094726516
"1980-11-30",0.0953981363,-0.0309089520,-0.0739300788,0.0410660482,-0.0498946565,0.0095830994
"1980-12-31",-0.0439429442,-0.0036774081,0.0266938218,-0.0130579321,0.0122721704,0.0130607283
"1981-01-31",-0.0499727398,0.0354814407,0.0706731836,-0.0358596060,0.0449049343,0.0103405778
"1981-02-28",0.0057385743,-0.0062414919,0.0083201674,0.0035545104,0.0205680346,0.0106937962
"1981-03-31",0.0357593433,0.0272012552,0.0051841725,-0.0222097283,-0.0058770683,0.0121701344
"1981-04-30",-0.0215714499,0.0484039672,0.0234491688,0.0071907999,0.0149637603,0.0107647978
"1981-05-31",0.0011036392,0.0233054775,-0.0043930053,0.0043247022,-0.0176057772,0.0114619426
"1981-06-30",-0.0241882164,-0.0096831300,0.0537256123,-0.0145682044,0.0289080243,0.0135063057
"1981-07-31",-0.0154805836,-0.0198027671,-0.0067117314,0.0106002833,-0.0302118940,0.0123927128
