,date,mkt_rf,smb,hml,rf,Mom,liq,Unnamed: 2
198507,1985-07-31,-0.0073824019,0.0297497739,-0.0162296211,0.0061781443,-0.0390467443,-0.01765668,
198508,1985-08-31,-0.0100924183,-0.0037709639,0.0233027305,0.0055144616,0.0231098766,0.02672546,
198509,1985-09-30,-0.0450308268,-0.0166719373,0.0137186443,0.0060975422,0.0193096845,0.01093591,
198510,1985-10-31,0.039937463,-0.0157007511,0.0083130755,0.0064598741,0.0456373161,0.05150047,
198511,1985-11-30,0.0645386199,0.0015704385,-0.0272773869,0.0060171308,-0.0072221733,0.00672971,
198512,1985-12-31,0.0385327794,-0.0056118985,-0.0145098651,0.0065302207,0.0026262769,-0.02013096,
198601,1986-01-31,0.0067098393,0.011473498,0.0056689666,0.0055144616,0.0339858337,0.01597593,
198602,1986-02-28,0.071008918,-0.006790119,-0.008730842,0.0053334277,0.0195118603,0.00281563,
198603,1986-03-31,0.0485087528,-0.0056848535,-0.0041461546,0.0060171308,0.0291338584,0.0381839,
198604,1986-04-30,-0.0130521881,0.0277122179,-0.0286997339,0.0052933269,-0.0075409211,-0.00300567,
198605,1986-05-31,0.0461427311,-0.0134917354,-0.0010655956,0.0048411252,0.0141494484,0.02628063,
198606,1986-06-30,0.0102396913,-0.009321498,0.0131284311,0.0052631458,0.0488584785,0.05867345,
198607,1986-07-31,-0.064256844,-0.0361340319,0.05070747,0.0052933269,0.0311953759,-0.01380785,
198608,1986-08-31,0.0604061578,-0.0395592402,0.0337167597,0.0046301782,-0.0469690454,-0.02668404,
198609,1986-09-30,-0.0854209563,0.0237155916,0.0348684507,0.0044192733,-0.0611897688,0.04453353,
198610,1986-10-31,0.0464009095,-0.0240283343,-0.0131804556,0.0046101342,0.026737921,0.01576519,
198611,1986-11-30,0.0117409031,-0.019265794,-0.0002544234,0.0039975501,-0.0042442488,-0.029403,
198612,1986-12-31,-0.0327320958,0.0007056481,0.003245551,0.0048511968,0.0107126767,-0.01277188,
198701,1987-01-31,0.1241269251,-0.0174712962,-0.0289568304,0.0042084106,0.0170301636,-0.07152219,
198702,1987-02-28,0.0440028953,0.0333610712,-0.0561917373,0.0043790577,-0.023508077,-0.04061123,
198703,1987-03-31,0.0160114392,0.0029762737,0.01582408,0.0046302014,0.0187137089,-0.01097802,
198704,1987-04-30,-0.0208598986,-0.0187572215,-0.0036664752,0.0044192733,0.005259659,-0.03756075,
198705,1987-05-31,0.0011925445,-0.0064747395,0.0003840751,0.0038068668,-0.0100025009,0.00815739,
198706,1987-06-30,0.0386883052,-0.0213927468,0.0101949672,0.0048511968,-0.00474752,0.02275992,
198707,1987-07-31,0.0381297872,-0.0068476145,0.0066646928,0.0046302014,0.0326226729,0.00987008,
198708,1987-08-31,0.0349127266,-0.0078989872,-0.0091767774,0.0046301782,-0.014223044,-0.04520908,
198709,1987-09-30,-0.0260596257,0.0044784799,0.0018998069,0.0044192733,0.0155889184,0.00486162,
198710,1987-10-31,-0.2312303699,-0.1227068593,0.0477365524,0.0059568703,-0.0722336502,0.03480785,
198711,1987-11-30,-0.077389756,0.0278030219,0.033064095,0.0034054966,0.0028061716,-0.00927515,
198712,1987-12-31,0.0678148819,-0.0013206283,-0.0426557956,0.0039674934,0.0353575469,0.00274312,
198801,1988-01-31,0.0421355013,-0.0107392089,0.0475196199,0.0030042788,-0.059170877,0.0440885,
198802,1988-02-29,0.0477462012,0.0317173403,-0.0151842798,0.0046100649,-0.0305115994,0.00385365,
198803,1988-03-31,-0.0223703526,0.0622905005,0.0077335887,0.0043791455,0.0088172365,-0.02056734,
198804,1988-04-30,0.0057656612,0.0076738852,0.0160976358,0.0046100649,0.0139426784,-0.02535004,
198805,1988-05-31,-0.0027533205,-0.0269004479,0.0242231586,0.0050521144,0.0013539026,-0.00543695,
198806,1988-06-30,0.0473913507,0.0194095163,-0.0104895553,0.0048511968,-0.026049137,-0.00953852,
198807,1988-07-31,-0.0124085517,-0.0032669668,0.02281107,0.0050118928,-0.0017310408,-0.00947366,
198808,1988-08-31,-0.032975412,-2.62563e-05,0.0206291765,0.005997134,0.0140495962,0.0358958,
198809,1988-09-30,0.0329370969,-0.0126873377,-0.0066411864,0.0061076935,0.0019473794,0.0149247,
198810,1988-10-31,0.0115397737,-0.0293847458,0.01726724,0.0061076935,0.0073016719,0.02369342,
198811,1988-11-30,-0.0224696678,-0.017398795,0.0124069095,0.0056853352,0.007097533,-0.00057618,
198812,1988-12-31,0.0148215464,0.0177651124,-0.016503847,0.006318936,-0.0092961864,-0.04471436,
198901,1989-01-31,0.0606186964,-0.0203070486,0.0049628134,0.0054742194,0.005667004,-0.00220187,
198902,1989-02-28,-0.0222720371,0.0274139863,0.0082913633,0.0060975422,0.0057954463,-0.00427192,
198903,1989-03-31,0.0154254487,0.0067128768,0.0041780608,0.0066208316,0.0345286783,-0.00970341,
198904,1989-04-30,0.0427958166,-0.0060950655,-0.0136244566,0.0068220089,0.0154885745,-0.02000575,
198905,1989-05-31,0.0330769243,-0.001195687,-0.0082120766,0.0079500096,0.0130490253,-0.03828178,
198906,1989-06-30,-0.0134646938,-0.0105664097,0.0217552856,0.0070637049,0.0072270981,0.07366713,
198907,1989-07-31,0.0713849841,-0.0373454962,-0.0263132044,0.007023324,0.0528117942,0.03081888,
198908,1989-08-31,0.0145445868,0.0046233458,0.007489776,0.0073859653,-0.0040996825,0.00652344,
198909,1989-09-30,-0.0074776324,0.0021882374,-0.0132558617,0.006620732,0.0367852516,-0.04880614,
198910,1989-10-31,-0.0363221188,-0.0358166196,-0.0123479209,0.006842245,0.0334978948,0.02662517,
198911,1989-11-30,0.0099309042,-0.0128082357,-0.0109977188,0.0069529169,0.0249086698,-0.02547946,
198912,1989-12-31,0.0115852744,-0.0239338218,0.0022575138,0.0060171308,0.0261613401,0.02029981,
199001,1990-01-31,-0.0779711286,-0.0148204478,0.0092426399,0.0057356427,-0.026893806,-0.03364272,
199002,1990-02-28,0.01116885,0.0095951074,0.0061595472,0.0057154162,-0.0002984109,-0.02990935,
199003,1990-03-31,0.0179794925,0.0148608622,-0.0279244095,0.0063994647,0.0173830404,-0.02689389,
199004,1990-04-30,-0.0334468121,-0.005401734,-0.0262365585,0.0068220089,0.0232895253,0.05850528,
199005,1990-05-31,0.0841498968,-0.0243930333,-0.0341125273,0.006842245,0.0298621006,-0.00628601,
199006,1990-06-30,-0.0108531833,0.0138741488,-0.0194065786,0.006318936,0.0295916581,0.02616832,
199007,1990-07-31,-0.018950911,-0.032765612,7.29292e-05,0.0067415476,0.0598489931,0.05014475,
199008,1990-08-31,-0.1007564697,-0.0387605756,0.0142437824,0.0064598741,0.0234982108,0.045158,
199009,1990-09-30,-0.0609810036,-0.0388521816,0.0071109548,0.005906462,0.0788504986,0.01964647,
199010,1990-10-31,-0.018878721,-0.0568189897,0.0008599127,0.0069228179,0.0718687021,-0.01223098,
199011,1990-11-30,0.0631897148,0.0021768873,-0.029770528,0.0056853352,-0.053789028,-0.01153405,
199012,1990-12-31,0.0244488117,0.0071608361,-0.0149404515,0.0060171308,-0.004038448,-0.03337994,
199101,1991-01-31,0.0467603058,0.0352863991,-0.0192562821,0.0050722387,-0.0442425651,-0.09360752,
199102,1991-02-28,0.0716116515,0.0366763535,-0.0053435984,0.0047607027,-0.0397594375,-0.0209043,
199103,1991-03-31,0.0263423616,0.037707537,-0.0119736946,0.0044092082,0.0325461267,-0.00623482,
199104,1991-04-30,-0.0026175083,0.0039167744,0.0142715196,0.0052933269,-0.0235047303,0.01702663,
199105,1991-05-31,0.0364905408,-0.0038783491,-0.0066728684,0.0046302014,-0.0054761134,-0.00890575,
199106,1991-06-30,-0.0493204352,0.0004481184,0.0124282421,0.0042083896,-0.0032440891,0.02953914,
199107,1991-07-31,0.0422330363,-0.0095458504,-0.0123829346,0.0048511968,0.0386296558,0.0176319,
199108,1991-08-31,0.0233716168,0.0152618321,-0.0072532425,0.0046302014,0.0268552295,-0.01811231,
199109,1991-09-30,-0.0156114949,0.0158538377,-0.0106849601,0.0046100649,0.014816956,0.01055563,
199110,1991-10-31,0.0126800737,0.008439559,-0.0039689702,0.0041482075,0.02879767,0.02144749,
199111,1991-11-30,-0.0420548667,-0.0046624862,-0.0205497254,0.0040076091,0.0206864065,0.04347328,
199112,1991-12-31,0.1084973253,-0.0210682989,-0.0357734262,0.0037868118,0.064731392,-0.05098599,
199201,1992-01-31,-0.0058105143,0.0845297332,0.0441219269,0.0033052027,-0.0245289571,-0.07806138,
199202,1992-02-29,0.0107439075,0.008397003,0.0631658705,0.0028538508,-0.0087547118,-0.04595154,
199203,1992-03-31,-0.0265794022,-0.0100383667,0.0371764889,0.0033052027,-0.0004329915,-0.00100618,
