"date","mkt_rf","smb","hml","rf","Mom"
"1936-08-31",0.0101943694,0.0064164939,0.0397967402,0.0002600325,0.0032248842
"1936-09-30",0.0100247658,0.0307425222,0.0090867575,0.0000000000,0.0053898479
"1936-10-31",0.0722985299,-0.0218247405,0.0243556980,0.0002600325,-0.0022885545
"1936-11-30",0.0332009292,0.0878385794,-0.0095356614,0.0000000000,0.0182456774
"1936-12-31",0.0021556134,0.0347150058,0.0380573184,0.0000000000,-0.0343048655
"1937-01-31",0.0335821460,0.0432497567,0.0266474895,0.0000000000,-0.0151869248
"1937-02-28",0.0112110232,0.0082789718,0.0451978496,0.0002200231,0.0227052664
"1937-03-31",-0.0028612997,-0.0022566825,0.0899907596,0.0002600325,0.0470700777
"1937-04-30",-0.0732447700,-0.0394993914,-0.0370954497,0.0002600325,-0.0576464622
"1937-05-31",-0.0082327974,-0.0068935275,-0.0338976518,0.0007202485,0.0000093336
"1937-06-30",-0.0425323772,-0.0395603229,-0.0311193721,0.0002600325,0.0210087301
"1937-07-31",0.0893087513,0.0077778234,0.0082506413,0.0002500300,0.0010262989
"1937-08-31",-0.0489362706,0.0043582342,-0.0234323524,0.0002600325,-0.0198213427
"1937-09-30",-0.1352839695,-0.0782171767,-0.0494715448,0.0002500300,-0.0550015202
"1937-10-31",-0.0939774560,0.0139046911,-0.0098230793,0.0002500300,-0.0372683852
"1937-11-30",-0.0832682783,-0.0418291505,0.0050998473,0.0002300253,-0.0541745408
"1937-12-31",-0.0431262081,-0.0833495925,-0.0028121563,0.0000000000,0.0898057887
"1938-01-31",0.0044711300,0.0495982094,-0.0138358983,0.0000000000,-0.0198432710
"1938-02-28",0.0586652218,0.0018366902,-0.0182158871,0.0000000000,-0.0517076999
"1938-03-31",-0.2386120463,-0.0556557896,-0.0429623023,0.0000000000,0.2258953550
"1938-04-30",0.1449053317,0.0532941181,0.0053921924,0.0000000000,-0.0654997771
"1938-05-31",-0.0384706454,-0.0275100405,-0.0018738346,0.0000000000,0.0594990493
"1938-06-30",0.2395937274,0.0300723403,0.0039145147,0.0000000000,-0.2044226902
"1938-07-31",0.0734692145,0.0622680091,0.0225106039,0.0000000000,-0.0729196491
"1938-08-31",-0.0270112997,-0.0248455201,-0.0474214109,0.0000000000,0.0244194253
"1938-09-30",0.0081305648,-0.0242584192,-0.0100121881,0.0002500300,0.0653811439
"1938-10-31",0.0779960922,0.0529772419,0.0476055067,0.0000000000,-0.0693892073
"1938-11-30",-0.0173738326,-0.0263485183,-0.0110856588,-0.0006897723,-0.0028252832
"1938-12-31",0.0423915003,-0.0162279197,0.0057096961,0.0000000000,-0.0203504492
"1939-01-31",-0.0593040518,-0.0163797830,-0.0384923730,0.0000000000,-0.0268011109
"1939-02-28",0.0351641642,0.0057465904,0.0293023452,0.0000000000,0.0281863444
"1939-03-31",-0.1203617020,-0.0519237264,-0.0911536807,0.0000000000,-0.0825431754
"1939-04-30",-0.0024542775,0.0191529610,0.0002965330,0.0000000000,0.0298254648
"1939-05-31",0.0677513866,0.0257397509,0.0058413419,0.0000000000,-0.0023459283
"1939-06-30",-0.0537563678,-0.0105076588,-0.0560860972,0.0000000000,0.0909537626
"1939-07-31",0.1022832549,0.0393518372,0.0008821380,0.0000000000,-0.0393559285
"1939-08-31",-0.0666653524,-0.0479515763,-0.0257881105,0.0000000000,0.0654579874
"1939-09-30",0.1689138780,0.1789991142,0.1945733523,0.0000000000,-0.2981596808
"1939-10-31",-0.0054605487,0.0003875922,-0.0483631617,0.0000000000,-0.0377371300
"1939-11-30",-0.0366364390,-0.0527403879,-0.0683583610,0.0000000000,-0.0178763624
"1939-12-31",0.0303750549,0.0087751605,-0.0387985262,0.0000000000,0.0492697370
"1940-01-31",-0.0242422335,0.0029476330,-0.0075557277,0.0000000000,-0.0156263652
"1940-02-29",0.0144551168,0.0247116255,-0.0029132800,0.0000000000,0.0243183273
"1940-03-31",0.0207414628,0.0128462702,-0.0124958809,0.0000000000,0.0058998629
"1940-04-30",0.0023146463,0.0399743999,-0.0007403594,0.0000000000,0.0414468599
